timestamp,task, status, execution_time,status,execution_time
2025-01-13 21:53:24.680024,Extract,,,Success,0.9833037853240968
2025-01-13 21:53:34.390556,Load,,,Success,9.462809562683104
2025-01-13 21:53:42.815322,Transform,,,Failed,0.0
2025-01-13 22:01:26.740537,Extract,,,Success,0.6242392063140869
2025-01-13 22:01:34.982348,Load,,,Success,8.086310386657715
2025-01-13 22:01:47.151636,Transform,,,Failed,0.0
2025-01-13 22:06:55.234914,Extract,,,Success,0.6700770854949951
2025-01-13 22:07:03.364700,Load,,,Success,7.98187255859375
2025-01-13 22:07:11.211661,Transform,,,Failed,0.0
2025-01-13 22:17:51.138098,Extract,,,Success,0.7112369537353516
2025-01-13 22:18:01.113821,Load,,,Success,9.83074116706848
2025-01-13 22:18:09.644539,Transform,,,Success,8.517077445983887
2025-01-13 22:22:06.760036,Extract,,,Success,0.6088967323303223
2025-01-13 22:22:21.538441,Load,,,Success,14.650756120681764
2025-01-13 22:22:34.599131,Transform,,,Success,13.043638467788696
2025-01-13 22:23:51.506068,Extract,,,Success,0.6004366874694824
2025-01-13 22:24:03.384902,Load,,,Success,11.741823673248293
2025-01-13 22:24:11.249953,Transform,,,Success,7.847727060317993
2025-01-13 22:24:49.537093,Extract,,,Success,0.9597911834716796
2025-01-13 22:25:00.107433,Load,,,Success,10.370655059814451
2025-01-13 22:25:17.366567,Transform,,,Success,17.22646403312683
2025-01-19 16:09:34.067082,Extract,,,Success,1.1984350681304932
2025-01-19 16:09:35.401460,Load,,,Failed,0.0
2025-01-19 16:09:34.067082,Extract,,,Success,1.1984350681304932
2025-01-19 16:09:35.401460,Load,,,Failed,0.0
2025-01-19 16:18:27.262081,Transform,,,Failed,0.0
2025-01-19 17:12:57.857287,Extract,,,Success,1.5564982891082764
2025-01-19 17:13:00.101067,Load,,,Failed,0.0
2025-01-19 17:23:21.314734,Extract,,,Success,1.1093058586120603
2025-01-19 17:13:00.101067,Load,,,Failed,0.0
2025-01-19 17:29:07.146867,Transform,,,Failed,0.0
2025-01-19 17:46:58.220285,Extract,,,Success,1.1146690845489502
2025-01-19 17:47:00.075685,Load,,,Failed,0.0
2025-01-19 17:46:58.220285,Extract,,,Success,1.1146690845489502
2025-01-19 17:47:00.075685,Load,,,Failed,0.0
2025-01-19 17:55:06.294252,Transform,,,Failed,0.0
2025-01-19 19:20:16.428931,Extract,,,Success,1.5964303016662598
2025-01-19 19:20:18.732083,Load,,,Failed,0.0
2025-01-19 19:20:16.428931,Extract,,,Success,1.5964303016662598
2025-01-19 19:20:18.732083,Load,,,Failed,0.0
2025-01-19 19:53:14.938589,Transform,,,Failed,0.0
2025-01-19 20:00:28.566601,Extract,,,Success,1.4234857559204102
2025-01-19 20:00:30.348284,Load,,,Failed,0.0
2025-01-19 20:00:28.566601,Extract,,,Success,1.4234857559204102
2025-01-19 20:00:30.348284,Load,,,Failed,0.0
2025-01-19 20:08:23.055695,Transform,,,Failed,0.0
2025-01-19 20:12:29.769395,Extract,,,Success,1.3812763690948486
2025-01-19 20:12:31.956137,Load,,,Failed,0.0
2025-01-19 20:12:29.769395,Extract,,,Success,1.3812763690948486
2025-01-19 20:12:31.956137,Load,,,Failed,0.0
2025-01-19 20:17:27.627737,Transform,,,Failed,0.0
2025-01-19 20:18:39.579933,Extract,,,Success,1.3961803913116455
2025-01-19 20:18:41.604561,Load,,,Failed,0.0
2025-01-19 20:22:36.428223,Extract,,,Success,1.252089262008667
2025-01-19 20:18:41.604561,Load,,,Failed,0.0
2025-01-19 20:24:51.921848,Extract,,,Success,1.056593418121338
2025-01-19 20:24:53.851921,Load,,,Failed,0.0
2025-01-19 20:27:13.564260,Extract,,,Success,1.021965265274048
2025-01-19 20:27:15.075134,Load,,,Failed,0.0
2025-01-19 20:33:11.202296,Extract,,,Success,1.2772226333618164
2025-01-19 20:33:13.575816,Load,,,Failed,0.0
2025-01-19 20:35:20.834818,Extract,,,Success,1.4201202392578125
2025-01-19 20:35:23.185483,Load,,,Failed,0.0
2025-01-19 20:37:48.142120,Extract,,,Success,1.1739904880523682
2025-01-19 20:37:52.205233,Load,,,Failed,0.0
2025-01-19 20:44:04.938444,Extract,,,Success,1.064417600631714
2025-01-19 20:44:08.051220,Load,,,Failed,0.0
2025-01-19 20:47:11.060278,Extract,,,Success,0.954148292541504
2025-01-19 20:47:14.079349,Load,,,Failed,0.0
2025-01-19 20:52:52.392870,Extract,,,Success,1.0833723545074463
2025-01-19 20:52:54.857259,Load,,,Failed,0.0
2025-01-19 20:59:29.065582,Extract,,,Success,1.0604851245880127
2025-01-19 20:59:32.347160,Load,,,Failed,0.0
2025-01-19 21:01:53.845381,Extract,,,Success,1.019528865814209
2025-01-19 21:01:56.854870,Load,,,Failed,0.0
2025-01-19 21:04:33.720570,Extract,,,Success,1.0524084568023682
2025-01-19 21:04:38.133628,Load,,,Failed,0.0
2025-01-19 21:08:40.549090,Extract,,,Success,1.12101411819458
2025-01-19 21:08:44.605619,Load,,,Failed,0.0
2025-01-19 21:10:53.411991,Extract,,,Success,1.1004061698913574
2025-01-19 21:10:58.949829,Load,,,Failed,0.0
2025-01-19 21:12:52.523178,Extract,,,Success,1.0517454147338867
2025-01-19 21:12:57.893757,Load,,,Success,5.02292013168335
2025-01-19 21:14:46.009379,Transform,,,Failed,0.0
2025-01-19 23:29:11.318418,Extract,,,Success,1.993990182876587
2025-01-19 23:29:21.527092,Load,,,Success,9.837509632110596
2025-01-19 23:38:11.005735,Transform,,,Failed,0.0
2025-01-19 23:42:21.284523,Extract,,,Success,1.750458002090454
2025-01-19 23:42:31.094926,Load,,,Success,9.37238907814026
2025-01-19 23:47:39.189526,Transform,,,Failed,0.0
